
1	1	1	1	1	1	1	1	307.106	301.471	303.442	305.328	305.558	293.058	299.287	293.217	296.688	295.341	293.409	304.173	289.841	293.233	303.788	309.089	297.981	296.962	297.618	294.747	296.091	306.487	293.5	303.589	303.518	302.53	299.904	290.975	300.261	300.177	298.816	297.687	299.064	301.544	292.251	294.191	300.151	297.602	298.325	297.397	348.826	346.765	357.438	343.424	355.7	352.986	352.452	
2	1	1	1	1	1	1	1	307.106	301.472	303.441	305.328	305.558	293.058	299.286	293.217	296.689	295.342	293.409	304.173	289.842	293.233	303.788	309.09	297.981	296.96	297.617	294.748	296.091	306.488	293.498	303.588	303.518	302.53	299.903	290.974	300.26	300.176	298.816	297.687	299.065	301.545	292.252	294.191	300.151	297.601	298.325	297.398	348.827	346.766	357.438	343.425	355.701	352.987	352.453	
3	1	1	1	1	1	1	1	307.102	301.468	303.438	305.324	305.554	293.055	299.282	293.214	296.686	295.338	293.406	304.169	289.839	293.229	303.784	309.086	297.977	296.956	297.613	294.744	296.086	306.484	293.494	303.584	303.514	302.526	299.9	290.97	300.257	300.171	298.813	297.683	299.061	301.541	292.249	294.187	300.148	297.598	298.321	297.393	348.824	346.764	357.434	343.423	355.699	352.985	352.451	
4	1	1	1	1	1	1	1	307.098	301.464	303.434	305.319	305.55	293.051	299.278	293.21	296.682	295.334	293.403	304.164	289.835	293.225	303.78	309.082	297.973	296.951	297.608	294.74	296.082	306.481	293.489	303.58	303.51	302.522	299.896	290.965	300.252	300.167	298.809	297.679	299.057	301.537	292.245	294.183	300.144	297.594	298.318	297.389	348.822	346.761	357.429	343.42	355.696	352.982	352.448	
5	1	1	1	1	1	1	1	307.093	301.458	303.429	305.314	305.546	293.048	299.273	293.205	296.678	295.329	293.399	304.159	289.831	293.221	303.775	309.077	297.969	296.946	297.603	294.735	296.077	306.477	293.484	303.575	303.504	302.518	299.891	290.96	300.248	300.161	298.804	297.674	299.053	301.532	292.24	294.177	300.139	297.59	298.314	297.384	348.819	346.758	357.424	343.417	355.693	352.979	352.446	
6	1	1	1	1	1	1	1	307.087	301.453	303.424	305.308	305.541	293.043	299.267	293.201	296.674	295.323	293.395	304.153	289.826	293.216	303.77	309.072	297.964	296.94	297.598	294.73	296.071	306.473	293.478	303.57	303.499	302.513	299.886	290.954	300.242	300.155	298.799	297.669	299.048	301.527	292.235	294.172	300.134	297.586	298.309	297.378	348.816	346.755	357.419	343.414	355.69	352.976	352.442	
7	1	1	1	1	1	1	1	307.081	301.446	303.419	305.301	305.535	293.039	299.261	293.195	296.669	295.317	293.39	304.146	289.821	293.211	303.764	309.066	297.958	296.934	297.592	294.724	296.064	306.468	293.472	303.565	303.492	302.507	299.881	290.948	300.236	300.149	298.794	297.663	299.042	301.521	292.229	294.165	300.129	297.58	298.304	297.372	348.812	346.751	357.413	343.41	355.686	352.973	352.439	
8	1	1	1	1	1	1	1	307.074	301.439	303.413	305.294	305.529	293.034	299.254	293.189	296.663	295.311	293.385	304.139	289.816	293.205	303.758	309.059	297.952	296.926	297.585	294.718	296.057	306.463	293.465	303.558	303.485	302.501	299.874	290.941	300.23	300.141	298.788	297.656	299.036	301.515	292.223	294.158	300.123	297.575	298.299	297.365	348.808	346.747	357.406	343.406	355.682	352.969	352.435	
9	1	1	1	1	1	1	1	307.067	301.432	303.406	305.286	305.522	293.028	299.246	293.183	296.657	295.303	293.379	304.131	289.809	293.198	303.75	309.052	297.945	296.918	297.577	294.711	296.049	306.457	293.457	303.551	303.477	302.494	299.868	290.933	300.222	300.133	298.781	297.649	299.029	301.508	292.216	294.151	300.116	297.568	298.293	297.358	348.804	346.743	357.398	343.401	355.678	352.964	352.43	
10	1	1	1	1	1	1	1	307.058	301.423	303.398	305.277	305.515	293.022	299.238	293.175	296.65	295.295	293.373	304.122	289.802	293.19	303.742	309.044	297.938	296.909	297.569	294.703	296.041	306.45	293.449	303.544	303.468	302.486	299.86	290.924	300.214	300.124	298.773	297.641	299.022	301.5	292.208	294.142	300.108	297.561	298.286	297.349	348.799	346.738	357.39	343.396	355.673	352.96	352.426	
