
1	355.945
2	355.936
3	355.936
4	355.935
5	355.935
6	355.934
7	355.934
8	355.934
9	355.933
10	355.933
11	355.932
12	355.932
13	355.931
14	355.931
15	355.93
16	355.93
17	355.929
18	355.929
19	355.929
20	355.928
21	355.928
22	355.927
23	355.927
24	355.926
25	355.926
26	355.925
27	355.925
28	355.924
29	355.923
30	355.923
31	355.922
32	355.922
33	355.921
34	355.921
35	355.92
36	355.92
37	355.919
38	355.918
39	355.918
40	355.917
41	355.917
42	355.916
43	355.916
44	355.915
45	355.914
46	355.914
47	355.913
48	355.912
49	355.912
50	355.911
51	355.91
52	355.91
53	355.909
54	355.908
55	355.908
56	355.907
57	355.906
58	355.906
59	355.905
60	355.904
61	355.903
62	355.903
63	355.902
64	355.901
65	355.9
66	355.9
67	355.899
68	355.898
69	355.897
70	355.897
71	355.896
72	355.895
73	355.894
74	355.893
75	355.892
76	355.892
77	355.891
78	355.89
79	355.889
80	355.888
81	355.887
82	355.886
83	355.885
84	355.884
85	355.884
86	355.883
87	355.882
88	355.881
89	355.88
90	355.879
91	355.878
92	355.877
93	355.876
94	355.875
95	355.874
96	355.873
97	355.872
98	355.871
99	355.87
100	355.868
101	355.867
102	355.866
103	355.865
104	355.864
105	355.863
106	355.862
107	355.861
108	355.859
109	355.858
110	355.857
111	355.856
112	355.855
113	355.853
114	355.852
115	355.851
116	355.85
117	355.848
118	355.847
119	355.846
120	355.844
121	355.843
122	355.842
123	355.84
124	355.839
125	355.838
126	355.836
127	355.835
128	355.833
129	355.832
130	355.83
131	355.829
132	355.827
133	355.826
134	355.824
135	355.823
136	355.821
137	355.82
138	355.818
139	355.817
140	355.815
141	355.813
142	355.812
143	355.81
144	355.808
145	355.807
146	355.805
147	355.803
148	355.801
149	355.8
150	355.798
151	355.796
152	355.794
153	355.792
154	355.791
155	355.789
156	355.787
157	355.785
158	355.783
159	355.781
160	355.779
161	355.777
162	355.775
163	355.773
164	355.771
165	355.769
166	355.767
167	355.764
168	355.762
169	355.76
170	355.758
171	355.756
172	355.754
173	355.751
174	355.749
175	355.747
176	355.744
177	355.742
178	355.74
179	355.737
180	355.735
181	355.732
182	355.73
183	355.727
184	355.725
185	355.722
186	355.72
187	355.717
188	355.715
189	355.712
190	355.709
191	355.706
192	355.704
193	355.701
194	355.698
195	355.695
196	355.693
197	355.69
198	355.687
199	355.684
200	355.681
201	355.678
202	355.675
203	355.672
204	355.669
205	355.666
206	355.662
207	355.659
208	355.656
209	355.653
210	355.649
211	355.646
212	355.643
213	355.639
214	355.636
215	355.633
216	355.629
217	355.626
218	355.622
219	355.618
220	355.615
221	355.611
222	355.607
223	355.604
224	355.6
225	355.596
226	355.592
227	355.588
228	355.584
229	355.58
230	355.576
231	355.572
232	355.568
233	355.564
234	355.56
235	355.556
236	355.551
237	355.547
238	355.543
239	355.538
240	355.534
241	355.529
242	355.525
243	355.52
244	355.515
245	355.511
246	355.506
247	355.501
248	355.496
249	355.491
250	355.487
251	355.482
252	355.477
253	355.471
254	355.466
255	355.461
256	355.456
257	355.451
258	355.445
259	355.44
260	355.434
261	355.429
262	355.423
263	355.418
264	355.412
265	355.406
266	355.4
267	355.395
268	355.389
269	355.383
270	355.377
271	355.37
272	355.364
273	355.358
274	355.352
275	355.345
276	355.339
277	355.332
278	355.326
279	355.319
280	355.313
281	355.306
282	355.299
283	355.292
284	355.285
285	355.278
286	355.271
287	355.264
288	355.256
289	355.249
290	355.242
291	355.234
292	355.227
293	355.219
294	355.211
295	355.203
296	355.195
297	355.187
298	355.179
299	355.171
300	355.163
301	355.155
302	355.146
303	355.138
304	355.129
305	355.121
306	355.112
307	355.103
308	355.094
309	355.085
310	355.076
311	355.067
312	355.057
313	355.048
314	355.038
315	355.029
316	355.019
317	355.009
318	354.999
319	354.989
320	354.979
321	354.969
322	354.959
323	354.948
324	354.938
325	354.927
326	354.916
327	354.905
328	354.894
329	354.883
330	354.872
331	354.861
332	354.849
333	354.838
334	354.826
335	354.814
336	354.802
337	354.79
338	354.778
339	354.766
340	354.753
341	354.741
342	354.728
343	354.715
344	354.702
345	354.689
346	354.676
347	354.662
348	354.649
349	354.635
350	354.621
351	354.607
352	354.593
353	354.579
354	354.565
355	354.55
356	354.535
357	354.521
358	354.506
359	354.49
360	354.475
361	354.46
362	354.444
363	354.428
364	354.412
365	354.396
366	354.38
367	354.363
368	354.346
369	354.33
370	354.312
371	354.295
372	354.278
373	354.26
374	354.243
375	354.225
376	354.206
377	354.188
378	354.17
379	354.151
380	354.132
381	354.113
382	354.093
383	354.074
384	354.054
385	354.034
386	354.014
387	353.994
388	353.973
389	353.952
390	353.931
391	353.91
392	353.888
393	353.867
394	353.845
395	353.822
396	353.8
397	353.777
398	353.754
399	353.731
400	353.708
401	353.684
402	353.66
403	353.636
404	353.612
405	353.587
406	353.562
407	353.537
408	353.511
409	353.485
410	353.459
411	353.433
412	353.406
413	353.379
414	353.352
415	353.325
416	353.297
417	353.269
418	353.24
419	353.212
420	353.183
421	353.153
422	353.123
423	353.093
424	353.063
425	353.032
426	353.002
427	352.97
428	352.938
429	352.906
430	352.874
431	352.841
432	352.808
433	352.775
434	352.741
435	352.707
436	352.672
437	352.637
438	352.602
439	352.566
440	352.53
441	352.494
442	352.457
443	352.419
444	352.382
445	352.343
446	352.305
447	352.266
448	352.226
449	352.186
450	352.146
451	352.105
452	352.064
453	352.022
454	351.98
455	351.938
456	351.894
457	351.851
458	351.81
459	352.664
460	351.74
461	351.702
462	352.555
463	351.604
464	352.481
465	351.528
466	352.404
