
1	206.666	204.574	202.754	204.349	213.048	199.619	159.692	160.454	152.329	145.773	151.444	146.379	149.955	159.201	150.581	155.504	150.843	149.14	151.232	151.211	144.339	154.732	156.984	152.214	1	1	1	1	1	1	
2	206.664	204.573	202.753	204.348	213.045	199.618	159.691	160.455	152.33	145.77	151.444	146.38	149.955	159.201	150.58	155.504	150.844	149.136	151.231	151.212	144.337	154.73	156.984	152.213	1	1	1	1	1	1	
3	206.662	204.57	202.75	204.346	213.041	199.616	159.689	160.453	152.329	145.767	151.441	146.377	149.953	159.199	150.579	155.502	150.842	149.133	151.229	151.209	144.336	154.728	156.981	152.21	1	1	1	1	1	1	
4	206.659	204.567	202.747	204.343	213.036	199.613	159.687	160.45	152.328	145.763	151.439	146.374	149.951	159.196	150.577	155.5	150.841	149.129	151.227	151.205	144.335	154.726	156.979	152.207	1	1	1	1	1	1	
5	206.656	204.564	202.744	204.34	213.031	199.61	159.684	160.448	152.326	145.76	151.436	146.37	149.949	159.193	150.574	155.497	150.839	149.125	151.224	151.201	144.333	154.723	156.976	152.204	1	1	1	1	1	1	
6	206.652	204.56	202.74	204.336	213.026	199.606	159.681	160.445	152.325	145.756	151.432	146.366	149.947	159.19	150.572	155.494	150.837	149.12	151.222	151.197	144.332	154.72	156.974	152.2	1	1	1	1	1	1	
7	206.648	204.556	202.736	204.332	213.019	199.602	159.677	160.442	152.323	145.751	151.429	146.362	149.944	159.186	150.569	155.491	150.835	149.115	151.219	151.192	144.33	154.717	156.97	152.195	1	1	1	1	1	1	
8	206.644	204.552	202.732	204.328	213.012	199.598	159.674	160.438	152.321	145.746	151.425	146.357	149.941	159.182	150.566	155.488	150.833	149.109	151.215	151.187	144.328	154.713	156.967	152.191	1	1	1	1	1	1	
9	206.639	204.547	202.727	204.323	213.005	199.593	159.67	160.434	152.318	145.74	151.42	146.352	149.937	159.178	150.563	155.484	150.831	149.103	151.211	151.181	144.326	154.709	156.963	152.185	1	1	1	1	1	1	
10	206.633	204.541	202.721	204.318	212.996	199.588	159.665	160.429	152.316	145.734	151.415	146.346	149.933	159.173	150.559	155.48	150.828	149.096	151.207	151.174	144.323	154.705	156.958	152.179	1	1	1	1	1	1	
11	206.627	204.535	202.715	204.312	212.986	199.582	159.66	160.424	152.313	145.727	151.409	146.339	149.929	159.167	150.555	155.475	150.825	149.088	151.203	151.167	144.32	154.7	156.953	152.173	1	1	1	1	1	1	
12	206.62	204.528	202.709	204.306	212.976	199.576	159.654	160.419	152.31	145.719	151.403	146.332	149.924	159.161	150.551	155.47	150.821	149.079	151.197	151.158	144.317	154.695	156.948	152.165	1	1	1	1	1	1	
13	206.613	204.521	202.701	204.298	212.964	199.568	159.648	160.413	152.307	145.71	151.396	146.323	149.919	159.154	150.546	155.464	150.818	149.07	151.192	151.149	144.314	154.689	156.942	152.157	1	1	1	1	1	1	
14	206.605	204.512	202.693	204.29	212.951	199.56	159.641	160.406	152.303	145.701	151.388	146.314	149.913	159.146	150.54	155.457	150.813	149.059	151.185	151.139	144.31	154.682	156.935	152.148	1	1	1	1	1	1	
15	206.595	204.503	202.683	204.281	212.936	199.551	159.633	160.398	152.298	145.69	151.38	146.304	149.907	159.138	150.534	155.45	150.809	149.047	151.178	151.128	144.305	154.675	156.928	152.138	1	1	1	1	1	1	
16	206.585	204.492	202.673	204.271	212.92	199.541	159.625	160.39	152.294	145.678	151.37	146.293	149.9	159.128	150.527	155.442	150.803	149.033	151.17	151.115	144.301	154.666	156.919	152.127	1	1	1	1	1	1	
17	206.574	204.481	202.661	204.26	212.902	199.53	159.615	160.38	152.288	145.665	151.36	146.28	149.892	159.118	150.519	155.433	150.798	149.019	151.161	151.101	144.295	154.657	156.91	152.114	1	1	1	1	1	1	
18	206.561	204.468	202.648	204.248	212.882	199.518	159.604	160.37	152.283	145.65	151.348	146.267	149.883	159.106	150.51	155.423	150.791	149.002	151.152	151.086	144.289	154.647	156.9	152.1	1	1	1	1	1	1	
19	206.547	204.454	202.634	204.234	212.859	199.504	159.593	160.358	152.276	145.634	151.335	146.251	149.873	159.093	150.501	155.412	150.784	148.984	151.141	151.068	144.283	154.635	156.888	152.085	1	1	1	1	1	1	
20	206.531	204.438	202.618	204.218	212.834	199.489	159.579	160.345	152.269	145.616	151.32	146.234	149.862	159.078	150.49	155.4	150.776	148.964	151.129	151.049	144.275	154.623	156.875	152.068	1	1	1	1	1	1	
21	206.513	204.42	202.6	204.201	212.807	199.472	159.565	160.331	152.261	145.595	151.304	146.215	149.849	159.062	150.478	155.386	150.767	148.941	151.115	151.028	144.267	154.609	156.861	152.048	1	1	1	1	1	1	
22	206.494	204.4	202.581	204.182	212.776	199.453	159.549	160.315	152.252	145.573	151.286	146.194	149.836	159.044	150.465	155.371	150.757	148.916	151.1	151.004	144.258	154.593	156.845	152.027	1	1	1	1	1	1	
23	206.472	204.378	202.559	204.161	212.742	199.432	159.53	160.297	152.242	145.548	151.266	146.17	149.821	159.024	150.45	155.354	150.746	148.888	151.084	150.978	144.248	154.576	156.828	152.004	1	1	1	1	1	1	
24	206.448	204.354	202.534	204.138	212.704	199.409	159.51	160.277	152.231	145.52	151.244	146.144	149.804	159.002	150.434	155.335	150.734	148.857	151.065	150.948	144.237	154.556	156.808	151.977	1	1	1	1	1	1	
25	206.421	204.327	202.507	204.112	212.661	199.383	159.488	160.255	152.218	145.489	151.219	146.115	149.785	158.978	150.416	155.314	150.72	148.822	151.045	150.916	144.224	154.535	156.786	151.948	1	1	1	1	1	1	
